word	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
accuser	0.470	0	0	0.438	0	0	0	0
asap	0	0	0	0.191	0	0	0	0
unwell	0	0	0	0	0	0.578	0	0
gash	0	0	0	0.703	0	0	0	0
frenzied	0.500	0	0	0.531	0	0	0	0
regent	0	0	0	0	0	0	0	0.594
classical	0	0	0	0	0.106	0	0	0
fenced	0.242	0	0	0	0	0	0	0
archaeology	0	0.344	0	0	0	0	0	0
sympathy	0	0	0	0	0	0.375	0	0
accidental	0	0	0	0.438	0	0	0.672	0
fearless	0	0	0	0.200	0	0	0	0
deadly	0.758	0	0.664	0.875	0	0.898	0	0
myfavorite	0	0	0	0	0.804	0	0	0
nauseate	0	0	0.703	0	0	0	0	0
feat	0	0.531	0	0	0.297	0	0.445	0
giggles	0	0	0	0	0.672	0	0	0
commotion	0.424	0	0	0	0	0	0	0
